Name,Year,Rating
Superman IV: The Quest for Peace,1987,1.0
Battlefield Earth,2000,0.5
Gigli,2003,1.0
The Love Guru,2008,1.0
Norbit,2007,1.5
Crossroads,2002,2.0
Glitter,2001,1.0
From Justin to Kelly,2003,0.5
Sex and the City 2,2010,2.0
The Hangover Part III,2013,2.0
Scary Movie 5,2013,1.0
Epic Movie,2007,0.5
Meet the Spartans,2008,0.5
Date Movie,2006,1.0
Superhero Movie,2008,1.5
Paul Blart: Mall Cop 2,2015,1.5
Zookeeper,2011,2.0
The Ridiculous 6,2015,1.0
Alvin and the Chipmunks: The Squeakquel,2009,1.5
The Smurfs,2011,2.0
Sonic the Hedgehog,2020,3.0
Pokémon Detective Pikachu,2019,3.0
Ready Player One,2018,3.0
Free Guy,2021,3.0
The Adam Project,2022,2.5
Red Notice,2021,2.0
6 Underground,2019,2.5
Bright,2017,2.5
The Gray Man,2022,2.5
Extraction,2020,3.0
The Tomorrow War,2021,2.5
Moonfall,2022,1.5
Geostorm,2017,1.5
2012,2009,2.0
The Day After Tomorrow,2004,2.5
Armageddon,1998,2.5
Independence Day: Resurgence,2016,1.5
Godzilla,1998,2.0
Godzilla vs. Kong,2021,3.0
Pacific Rim,2013,3.5
Edge of Tomorrow,2014,4.5
Looper,2012,4.0
Source Code,2011,3.5
Primer,2004,4.0
Coherence,2013,4.0
Upstream Color,2013,3.5
Under the Skin,2013,4.0
Annihilation,2018,4.5
The Fountain,2006,3.5
Donnie Darko,2001,4.0
Pi,1998,3.5
Requiem for a Dream,2000,4.0
Black Swan,2010,4.0
Gone Girl,2014,4.0
Zodiac,2007,4.5
Prisoners,2013,4.0
Nightcrawler,2014,4.5
Drive,2011,4.0
Only God Forgives,2013,2.5
The Neon Demon,2016,3.0
Spring Breakers,2012,3.0
Uncut Gems,2019,4.0
Good Time,2017,4.0
The Lighthouse,2019,4.0
The Witch,2015,4.0
Hereditary,2018,4.0
Midsommar,2019,3.5
The Babadook,2014,4.0
It Follows,2014,4.0
Raw,2016,3.5
Titane,2021,3.5
Holy Motors,2012,3.5
"Synecdoche, New York",2008,4.5
The Master,2012,4.0
Inherent Vice,2014,3.5
Magnolia,1999,4.0
Boogie Nights,1997,4.5
Short Cuts,1993,3.5
Nashville,1975,4.0
The Player,1992,4.0
Gosford Park,2001,3.5
Fargo,1996,5.0
Nocturnal Animals,2016,3.5
A History of Violence,2005,4.0
Eastern Promises,2007,3.5
Crash,2004,2.0
Babel,2006,3.0
21 Grams,2003,3.0
Amores Perros,2000,4.5
Y Tu Mamá También,2001,4.0
Roma,2018,4.5
The Revenant,2015,3.5
Birdman or (The Unexpected Virtue of Ignorance),2014,4.0
The Tree of Life,2011,3.5
Knight of Cups,2015,2.5
To the Wonder,2012,2.5
Song to Song,2017,2.0
The New World,2005,3.5
The Thin Red Line,1998,4.0
Badlands,1973,4.5
Days of Heaven,1978,4.5
Barry Lyndon,1975,4.5
A Clockwork Orange,1971,4.0
The Shining,1980,5.0
Full Metal Jacket,1987,4.0
Eyes Wide Shut,1999,3.5
Paths of Glory,1957,5.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,5.0
Lolita,1962,3.5
Spartacus,1960,3.5
The Killing,1956,4.5
Kiss Me Deadly,1955,4.0
The Big Sleep,1946,4.0
Double Indemnity,1944,5.0
Sunset Boulevard,1950,5.0
All About Eve,1950,4.5
Rebecca,1940,4.0
Notorious,1946,4.5
North by Northwest,1959,4.5
The Birds,1963,3.5
Marnie,1964,3.5
Rope,1948,4.0
Strangers on a Train,1951,4.5
Shadow of a Doubt,1943,4.0
The Man Who Knew Too Much,1956,3.5
To Catch a Thief,1955,3.5
Dial M for Murder,1954,4.0
The Wrong Man,1956,3.5
Frenzy,1972,3.5
Family Plot,1976,3.0
Topaz,1969,2.5
Torn Curtain,1966,2.5
